中央电视台,#genre#
山西卫视,http://27.148.240.138/PLTV/88888888/224/3221227459/1.m3u8
深圳卫视,http://27.148.240.138/PLTV/88888888/224/3221227285/1.m3u8
四川卫视,http://27.148.240.138/PLTV/88888888/224/3221227289/1.m3u8
天津卫视,http://27.148.240.138/PLTV/88888888/224/3221227222/1.m3u8
西藏卫视,http://27.148.240.138/PLTV/88888888/224/3221227344/1.m3u8
新疆卫视,http://27.148.240.138/PLTV/88888888/224/3221227412/1.m3u8
云南卫视,http://27.148.240.138/PLTV/88888888/224/3221226900/1.m3u8
浙江卫视,http://27.148.240.138/PLTV/88888888/224/3221227226/1.m3u8
重庆卫视,http://27.148.240.138/PLTV/88888888/224/3221227293/1.m3u8
福建频道,#genre#
福建综合,http://27.148.240.138/PLTV/88888888/224/3221226722/1.m3u8
福建新闻,http://27.148.240.138/PLTV/88888888/224/3221226736/1.m3u8
福建少儿,http://27.148.240.138/PLTV/88888888/224/3221226738/1.m3u8
福建综合,http://27.148.240.138/PLTV/88888888/224/3221226745/1.m3u8
海峡卫视,http://27.148.240.138/PLTV/88888888/224/3221226748/1.m3u8
福建教育,http://27.148.240.138/PLTV/88888888/224/3221226884/1.m3u8
华数电影轮播,http://27.148.240.138/PLTV/88888888/224/3221226758/1.m3u8
华数电视剧轮播,http://27.148.240.138/PLTV/88888888/224/3221226772/1.m3u8
央视综艺轮播,http://27.148.240.138/PLTV/88888888/224/3221226776/1.m3u8
央视体育轮播,http://27.148.240.138/PLTV/88888888/224/3221226845/1.m3u8
福建旅游,http://27.148.240.138/PLTV/88888888/224/3221226854/1.m3u8
中国天气,http://27.148.240.138/PLTV/88888888/224/3221226861/1.m3u8
嘉佳卡通,http://27.148.240.138/PLTV/88888888/224/3221226890/1.m3u8
电影轮播,http://27.148.240.138/PLTV/88888888/224/3221226892/1.m3u8
卡酷少儿,http://27.148.240.138/PLTV/88888888/224/3221226916/1.m3u8
凤凰资讯,http://27.148.240.138/PLTV/88888888/224/3221226929/1.m3u8
凤凰中文,http://27.148.240.138/PLTV/88888888/224/3221226980/1.m3u8
BesTV1,http://27.148.240.138/PLTV/88888888/224/3221227005/1.m3u8
BesTV2,http://27.148.240.138/PLTV/88888888/224/3221227009/1.m3u8
BesTV3,http://27.148.240.138/PLTV/88888888/224/3221227013/1.m3u8
BesTV4,http://27.148.240.138/PLTV/88888888/224/3221227023/1.m3u8
BesTV5,http://27.148.240.138/PLTV/88888888/224/3221227039/1.m3u8
BesTV6,http://27.148.240.138/PLTV/88888888/224/3221227040/1.m3u8
BesTV7,http://27.148.240.138/PLTV/88888888/224/3221227044/1.m3u8
电影轮播,http://27.148.240.138/PLTV/88888888/224/3221227132/1.m3u8
金鹰纪实,http://27.148.240.138/PLTV/88888888/224/3221227250/1.m3u8
金鹰卡通,http://27.148.240.138/PLTV/88888888/224/3221227340/1.m3u8
CGTN纪录,http://27.148.240.138/PLTV/88888888/224/3221227367/1.m3u8
CGTN-NEWS,http://27.148.240.138/PLTV/88888888/224/3221226822/1.m3u8
CETV-1,http://27.148.240.138/PLTV/88888888/224/3221226912/1.m3u8
CETV-2,http://27.148.240.138/PLTV/88888888/224/3221226840/1.m3u8
CETV-4,http://27.148.240.138/PLTV/88888888/224/3221227075/1.m3u8
